PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
1570,0,0,264,OO,20304,SkyWest Airlines Inc.,6700,D,OO,SkyWest Airlines Inc.,3,3,11193,1119302,33105,CVG,"Cincinnati, OH",KY,21,Kentucky,52,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2025,1,1,1,F
1571,0,0,588,G4,20368,Allegiant Air,6035,D,G4,Allegiant Air,3,3,14082,1408203,34082,PGD,"Punta Gorda, FL",FL,12,Florida,33,12544,1254404,32544,USA,"Concord, NC",NC,37,North Carolina,36,2025,1,1,2,F
1571,0,0,650,F9,20436,Frontier Airlines Inc.,6460,D,F9,Frontier Airlines Inc.,3,3,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,2025,1,1,2,F
1571,0,0,792,OO,20304,SkyWest Airlines Inc.,6700,D,OO,SkyWest Airlines Inc.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,14814,1481403,30476,SHV,"Shreveport, LA",LA,22,Louisiana,72,2025,1,1,2,F
1571,1850,0,177,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,3,10599,1059904,30599,BHM,"Birmingham, AL",AL,1,Alabama,51,10693,1069302,30693,BNA,"Nashville, TN",TN,47,Tennessee,54,2025,1,1,1,F
1571,3281,0,674,QX,19687,Horizon Air,6580,D,QX,Horizon Air,2,2,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,10713,1071302,30713,BOI,"Boise, ID",ID,16,Idaho,83,2025,1,1,2,F
1572,0,0,314,OO,20304,SkyWest Airlines Inc.,6700,D,OO,SkyWest Airlines Inc.,3,3,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,14698,1469802,34236,SBP,"San Luis Obispo, CA",CA,6,California,91,2025,1,1,1,F
1572,0,0,647,OO,20304,SkyWest Airlines Inc.,6700,D,OO,SkyWest Airlines Inc.,3,3,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,14893,1489302,33192,SMF,"Sacramento, CA",CA,6,California,91,2025,1,1,2,F
1572,0,0,1303,F9,20436,Frontier Airlines Inc.,6460,D,F9,Frontier Airlines Inc.,3,3,14100,1410005,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,2025,1,1,3,F
1572,1106,0,610,DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3,13244,1324402,33244,MEM,"Memphis, TN",TN,47,Tennessee,54,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,2025,1,1,2,F
